year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1837,1907,0.511,0.238,0.251
1838,1907,0.506,0.241,0.253
1839,1907,0.502,0.243,0.255
1840,1907,0.497,0.246,0.257
1841,1907,0.491,0.249,0.259
1842,1907,0.482,0.255,0.263
1843,1907,0.474,0.261,0.266
1844,1907,0.465,0.266,0.269
1845,1907,0.458,0.27,0.272
1846,1907,0.452,0.274,0.274
1847,1907,0.446,0.278,0.275
1848,1907,0.441,0.283,0.277
1849,1907,0.435,0.287,0.278
1850,1907,0.429,0.291,0.28
1851,1907,0.424,0.295,0.281
1852,1907,0.419,0.299,0.283
1853,1907,0.413,0.303,0.284
1854,1907,0.408,0.307,0.285
1855,1907,0.402,0.312,0.286
1856,1907,0.397,0.316,0.287
1857,1907,0.391,0.32,0.288
1858,1907,0.388,0.323,0.29
1859,1907,0.379,0.327,0.294
1860,1907,0.37,0.332,0.298
1861,1907,0.362,0.337,0.302
1862,1907,0.353,0.34,0.307
1863,1907,0.345,0.346,0.309
1864,1907,0.338,0.35,0.313
1865,1907,0.334,0.352,0.314
1866,1907,0.331,0.355,0.314
1867,1907,0.328,0.358,0.314
1868,1907,0.325,0.362,0.313
1869,1907,0.322,0.366,0.312
1870,1907,0.318,0.37,0.312
1871,1907,0.315,0.374,0.311
1872,1907,0.312,0.378,0.31
1873,1907,0.308,0.381,0.311
1874,1907,0.305,0.383,0.311
1875,1907,0.303,0.385,0.313
1876,1907,0.302,0.384,0.314
1877,1907,0.3,0.384,0.315
1878,1907,0.296,0.386,0.318
1879,1907,0.293,0.385,0.322
1880,1907,0.286,0.384,0.33
1881,1907,0.275,0.373,0.351
1882,1907,0.265,0.353,0.382
1883,1907,0.254,0.327,0.418
1884,1907,0.243,0.3,0.457
1885,1907,0.23,0.269,0.501
1886,1907,0.25,0.281,0.469
1887,1907,0.269,0.286,0.444
1888,1907,0.287,0.293,0.419
1889,1907,0.316,0.302,0.381
1890,1907,0.325,0.304,0.371
1891,1907,0.36,0.294,0.345
1892,1907,0.391,0.246,0.363
1893,1907,0.399,0.206,0.396
1894,1907,0.713,0.044,0.243
