year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1825,1895,0.516,0.254,0.23
1826,1895,0.515,0.255,0.23
1827,1895,0.515,0.255,0.23
1828,1895,0.514,0.255,0.23
1829,1895,0.514,0.255,0.231
1830,1895,0.513,0.256,0.231
1831,1895,0.513,0.256,0.231
1832,1895,0.512,0.256,0.231
1833,1895,0.512,0.256,0.232
1834,1895,0.509,0.258,0.233
1835,1895,0.5,0.263,0.237
1836,1895,0.49,0.269,0.241
1837,1895,0.48,0.275,0.245
1838,1895,0.47,0.281,0.25
1839,1895,0.459,0.287,0.254
1840,1895,0.449,0.292,0.258
1841,1895,0.441,0.298,0.261
1842,1895,0.433,0.304,0.263
1843,1895,0.425,0.309,0.265
1844,1895,0.418,0.315,0.268
1845,1895,0.41,0.32,0.269
1846,1895,0.403,0.326,0.271
1847,1895,0.397,0.331,0.273
1848,1895,0.39,0.335,0.275
1849,1895,0.384,0.34,0.276
1850,1895,0.377,0.344,0.279
1851,1895,0.368,0.348,0.284
1852,1895,0.36,0.352,0.288
1853,1895,0.352,0.356,0.292
1854,1895,0.345,0.359,0.296
1855,1895,0.339,0.364,0.297
1856,1895,0.334,0.369,0.297
1857,1895,0.329,0.375,0.296
1858,1895,0.325,0.38,0.295
1859,1895,0.321,0.384,0.295
1860,1895,0.316,0.387,0.297
1861,1895,0.31,0.384,0.305
1862,1895,0.305,0.381,0.314
1863,1895,0.298,0.377,0.324
1864,1895,0.293,0.373,0.335
1865,1895,0.288,0.366,0.346
1866,1895,0.285,0.356,0.359
1867,1895,0.284,0.343,0.373
1868,1895,0.282,0.33,0.388
1869,1895,0.279,0.316,0.405
1870,1895,0.279,0.3,0.422
1871,1895,0.289,0.295,0.415
1872,1895,0.299,0.295,0.406
1873,1895,0.309,0.294,0.397
1874,1895,0.319,0.293,0.388
1875,1895,0.33,0.292,0.378
1876,1895,0.34,0.291,0.369
1877,1895,0.351,0.289,0.36
1878,1895,0.365,0.273,0.363
1879,1895,0.381,0.249,0.371
1880,1895,0.4,0.219,0.381
1881,1895,0.42,0.191,0.389
1882,1895,0.574,0.066,0.36
1883,1895,0.689,0.02,0.291
1884,1895,0.746,0.008,0.245
