year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1907,0.362,0.337,0.302,0.0006,46
1907,0.353,0.34,0.307,0.0009,45
1907,0.345,0.346,0.309,0.0012,44
1907,0.338,0.35,0.313,0.0016,43
1907,0.334,0.352,0.314,0.0018,42
1907,0.331,0.355,0.314,0.0022,41
1907,0.328,0.358,0.314,0.0025,40
1907,0.325,0.362,0.313,0.0029,39
1907,0.322,0.366,0.312,0.0034,38
1907,0.318,0.37,0.312,0.0038,37
1907,0.315,0.374,0.311,0.0041,36
1907,0.312,0.378,0.31,0.0046,35
1907,0.308,0.381,0.311,0.0048,34
1907,0.305,0.383,0.311,0.0052,33
1907,0.303,0.385,0.313,0.0054,32
1907,0.302,0.384,0.314,0.0057,31
1907,0.3,0.384,0.315,0.0058,30
1907,0.296,0.386,0.318,0.006,29
1907,0.293,0.385,0.322,0.0059,28
1907,0.286,0.384,0.33,0.0053,27
1907,0.275,0.373,0.351,0.0033,26
1907,0.265,0.353,0.382,0.0003,25
1907,0.254,0.327,0.418,0.0034,24
1907,0.243,0.3,0.457,0.0076,23
1907,0.23,0.269,0.501,0.0122,22
1907,0.25,0.281,0.469,0.0085,21
1907,0.269,0.286,0.444,0.0072,20
1907,0.287,0.293,0.419,0.0064,19
1907,0.316,0.302,0.381,0.0071,18
1907,0.325,0.304,0.371,0.0081,17
1907,0.36,0.294,0.345,0.0122,16
