year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1812,1882,0.517,0.258,0.225
1813,1882,0.517,0.259,0.224
1814,1882,0.517,0.259,0.224
1815,1882,0.517,0.26,0.223
1816,1882,0.516,0.26,0.223
1817,1882,0.516,0.261,0.223
1818,1882,0.516,0.262,0.223
1819,1882,0.515,0.263,0.222
1820,1882,0.514,0.263,0.222
1821,1882,0.513,0.264,0.222
1822,1882,0.513,0.265,0.222
1823,1882,0.512,0.266,0.222
1824,1882,0.509,0.268,0.223
1825,1882,0.5,0.274,0.226
1826,1882,0.491,0.28,0.229
1827,1882,0.483,0.286,0.231
1828,1882,0.48,0.288,0.232
1829,1882,0.477,0.29,0.233
1830,1882,0.474,0.293,0.233
1831,1882,0.471,0.296,0.233
1832,1882,0.468,0.299,0.233
1833,1882,0.465,0.302,0.233
1834,1882,0.462,0.305,0.233
1835,1882,0.458,0.309,0.233
1836,1882,0.451,0.314,0.235
1837,1882,0.445,0.319,0.236
1838,1882,0.438,0.324,0.238
1839,1882,0.432,0.328,0.24
1840,1882,0.426,0.333,0.241
1841,1882,0.419,0.338,0.243
1842,1882,0.413,0.342,0.244
1843,1882,0.407,0.347,0.247
1844,1882,0.4,0.351,0.249
1845,1882,0.394,0.354,0.252
1846,1882,0.388,0.357,0.255
1847,1882,0.38,0.36,0.26
1848,1882,0.374,0.357,0.269
1849,1882,0.368,0.351,0.28
1850,1882,0.362,0.344,0.293
1851,1882,0.356,0.338,0.306
1852,1882,0.35,0.331,0.32
1853,1882,0.343,0.323,0.334
1854,1882,0.337,0.315,0.348
1855,1882,0.331,0.306,0.363
1856,1882,0.326,0.296,0.378
1857,1882,0.321,0.288,0.391
1858,1882,0.322,0.281,0.396
1859,1882,0.325,0.276,0.399
1860,1882,0.331,0.27,0.399
1861,1882,0.338,0.263,0.399
1862,1882,0.345,0.258,0.397
1863,1882,0.353,0.253,0.394
1864,1882,0.363,0.247,0.39
1865,1882,0.381,0.236,0.383
1866,1882,0.458,0.156,0.387
1867,1882,0.532,0.094,0.374
1868,1882,0.598,0.055,0.347
