year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1874,1939,0.478,0.271,0.251
1875,1939,0.455,0.281,0.264
1876,1939,0.407,0.301,0.292
1877,1939,0.331,0.332,0.337
1878,1939,0.32,0.333,0.347
1879,1939,0.317,0.331,0.352
1880,1939,0.313,0.329,0.358
1881,1939,0.31,0.327,0.363
1882,1939,0.304,0.326,0.369
1883,1939,0.299,0.324,0.377
1884,1939,0.295,0.321,0.384
1885,1939,0.292,0.317,0.39
1886,1939,0.29,0.316,0.394
1887,1939,0.288,0.315,0.397
1888,1939,0.286,0.314,0.4
1889,1939,0.285,0.314,0.402
1890,1939,0.284,0.314,0.403
1891,1939,0.283,0.313,0.404
1892,1939,0.283,0.313,0.404
1893,1939,0.283,0.314,0.403
1894,1939,0.283,0.313,0.404
1895,1939,0.283,0.314,0.403
1896,1939,0.282,0.318,0.4
1897,1939,0.281,0.322,0.397
1898,1939,0.281,0.328,0.391
1899,1939,0.28,0.333,0.387
1900,1939,0.279,0.339,0.382
1901,1939,0.278,0.344,0.378
1902,1939,0.277,0.349,0.373
1903,1939,0.276,0.355,0.369
1904,1939,0.275,0.36,0.364
1905,1939,0.274,0.365,0.36
1906,1939,0.271,0.37,0.359
1907,1939,0.267,0.375,0.358
1908,1939,0.264,0.377,0.359
1909,1939,0.261,0.375,0.364
1910,1939,0.258,0.368,0.374
1911,1939,0.254,0.361,0.385
1912,1939,0.249,0.366,0.385
1913,1939,0.247,0.34,0.413
1914,1939,0.243,0.328,0.429
1915,1939,0.239,0.315,0.445
1916,1939,0.235,0.303,0.461
1917,1939,0.239,0.258,0.503
1918,1939,0.246,0.298,0.456
1919,1939,0.26,0.303,0.438
1920,1939,0.274,0.308,0.419
1921,1939,0.283,0.329,0.387
1922,1939,0.303,0.316,0.382
1923,1939,0.327,0.309,0.364
1924,1939,0.369,0.278,0.353
1925,1939,0.413,0.247,0.34
1926,1939,0.525,0.173,0.303
