year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1868,1933,0.483,0.24,0.277
1869,1933,0.461,0.25,0.289
1870,1933,0.424,0.268,0.307
1871,1933,0.356,0.307,0.337
1872,1933,0.339,0.313,0.348
1873,1933,0.331,0.314,0.355
1874,1933,0.324,0.315,0.361
1875,1933,0.319,0.315,0.366
1876,1933,0.314,0.317,0.37
1877,1933,0.309,0.318,0.373
1878,1933,0.304,0.319,0.377
1879,1933,0.299,0.32,0.381
1880,1933,0.295,0.321,0.385
1881,1933,0.29,0.322,0.388
1882,1933,0.285,0.322,0.392
1883,1933,0.282,0.323,0.395
1884,1933,0.279,0.322,0.398
1885,1933,0.277,0.322,0.401
1886,1933,0.276,0.321,0.403
1887,1933,0.276,0.319,0.405
1888,1933,0.276,0.318,0.406
1889,1933,0.276,0.318,0.406
1890,1933,0.276,0.318,0.407
1891,1933,0.276,0.318,0.407
1892,1933,0.276,0.318,0.407
1893,1933,0.276,0.318,0.407
1894,1933,0.276,0.318,0.406
1895,1933,0.277,0.318,0.405
1896,1933,0.279,0.318,0.403
1897,1933,0.28,0.318,0.402
1898,1933,0.281,0.32,0.4
1899,1933,0.281,0.321,0.398
1900,1933,0.281,0.323,0.396
1901,1933,0.281,0.325,0.394
1902,1933,0.281,0.328,0.392
1903,1933,0.281,0.33,0.389
1904,1933,0.282,0.331,0.388
1905,1933,0.283,0.332,0.386
1906,1933,0.284,0.34,0.376
1907,1933,0.287,0.33,0.384
1908,1933,0.29,0.327,0.383
1909,1933,0.293,0.325,0.382
1910,1933,0.296,0.323,0.381
1911,1933,0.299,0.31,0.391
1912,1933,0.305,0.319,0.377
1913,1933,0.311,0.317,0.372
1914,1933,0.317,0.315,0.368
1915,1933,0.322,0.308,0.369
1916,1933,0.339,0.307,0.353
1917,1933,0.356,0.306,0.338
1918,1933,0.391,0.284,0.325
1919,1933,0.463,0.253,0.285
1920,1933,0.692,0.102,0.206
