year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1868,1933,0.577,0.209,0.214
1869,1933,0.532,0.237,0.231
1870,1933,0.468,0.278,0.253
1871,1933,0.403,0.326,0.271
1872,1933,0.385,0.339,0.276
1873,1933,0.375,0.343,0.282
1874,1933,0.365,0.346,0.289
1875,1933,0.356,0.349,0.295
1876,1933,0.347,0.351,0.302
1877,1933,0.338,0.354,0.308
1878,1933,0.329,0.356,0.315
1879,1933,0.321,0.358,0.321
1880,1933,0.313,0.359,0.327
1881,1933,0.306,0.361,0.333
1882,1933,0.3,0.362,0.338
1883,1933,0.295,0.363,0.342
1884,1933,0.292,0.363,0.344
1885,1933,0.288,0.365,0.347
1886,1933,0.285,0.366,0.348
1887,1933,0.283,0.369,0.348
1888,1933,0.281,0.373,0.346
1889,1933,0.28,0.376,0.344
1890,1933,0.278,0.38,0.342
1891,1933,0.276,0.384,0.34
1892,1933,0.273,0.389,0.338
1893,1933,0.27,0.394,0.336
1894,1933,0.267,0.399,0.335
1895,1933,0.264,0.403,0.333
1896,1933,0.261,0.408,0.331
1897,1933,0.258,0.413,0.329
1898,1933,0.255,0.417,0.328
1899,1933,0.252,0.423,0.324
1900,1933,0.249,0.428,0.322
1901,1933,0.247,0.434,0.32
1902,1933,0.243,0.439,0.318
1903,1933,0.24,0.444,0.316
1904,1933,0.238,0.449,0.313
1905,1933,0.238,0.451,0.311
1906,1933,0.238,0.46,0.303
1907,1933,0.241,0.45,0.309
1908,1933,0.243,0.447,0.31
1909,1933,0.247,0.443,0.31
1910,1933,0.251,0.439,0.31
1911,1933,0.256,0.429,0.315
1912,1933,0.259,0.431,0.31
1913,1933,0.265,0.428,0.307
1914,1933,0.271,0.426,0.303
1915,1933,0.278,0.413,0.309
1916,1933,0.292,0.419,0.289
1917,1933,0.309,0.415,0.276
1918,1933,0.336,0.402,0.262
1919,1933,0.378,0.396,0.226
1920,1933,0.674,0.19,0.137
