year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1874,1939,0.561,0.239,0.2
1875,1939,0.533,0.255,0.212
1876,1939,0.464,0.294,0.241
1877,1939,0.375,0.348,0.276
1878,1939,0.359,0.353,0.287
1879,1939,0.348,0.356,0.296
1880,1939,0.338,0.359,0.303
1881,1939,0.328,0.362,0.31
1882,1939,0.319,0.365,0.317
1883,1939,0.311,0.368,0.321
1884,1939,0.306,0.37,0.324
1885,1939,0.3,0.373,0.327
1886,1939,0.294,0.376,0.33
1887,1939,0.288,0.378,0.333
1888,1939,0.283,0.38,0.337
1889,1939,0.28,0.381,0.339
1890,1939,0.278,0.382,0.34
1891,1939,0.275,0.383,0.342
1892,1939,0.273,0.382,0.345
1893,1939,0.272,0.383,0.345
1894,1939,0.268,0.389,0.343
1895,1939,0.264,0.396,0.34
1896,1939,0.259,0.403,0.338
1897,1939,0.256,0.411,0.332
1898,1939,0.251,0.421,0.328
1899,1939,0.247,0.43,0.323
1900,1939,0.243,0.438,0.318
1901,1939,0.24,0.447,0.313
1902,1939,0.237,0.456,0.307
1903,1939,0.234,0.465,0.302
1904,1939,0.23,0.471,0.299
1905,1939,0.225,0.477,0.298
1906,1939,0.222,0.477,0.301
1907,1939,0.22,0.475,0.306
1908,1939,0.217,0.472,0.31
1909,1939,0.215,0.47,0.315
1910,1939,0.213,0.467,0.32
1911,1939,0.213,0.462,0.325
1912,1939,0.211,0.459,0.331
1913,1939,0.217,0.439,0.344
1914,1939,0.22,0.422,0.358
1915,1939,0.223,0.405,0.371
1916,1939,0.226,0.388,0.385
1917,1939,0.24,0.367,0.394
1918,1939,0.235,0.39,0.375
1919,1939,0.24,0.404,0.356
1920,1939,0.245,0.417,0.337
1921,1939,0.247,0.435,0.318
1922,1939,0.255,0.443,0.302
1923,1939,0.274,0.44,0.286
1924,1939,0.314,0.411,0.274
1925,1939,0.365,0.376,0.259
1926,1939,0.525,0.261,0.214
