year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1812,1882,0.577,0.238,0.185
1813,1882,0.575,0.24,0.185
1814,1882,0.573,0.242,0.185
1815,1882,0.571,0.245,0.184
1816,1882,0.567,0.251,0.182
1817,1882,0.563,0.257,0.18
1818,1882,0.56,0.261,0.179
1819,1882,0.557,0.265,0.179
1820,1882,0.554,0.267,0.179
1821,1882,0.549,0.27,0.18
1822,1882,0.545,0.273,0.182
1823,1882,0.54,0.276,0.183
1824,1882,0.536,0.279,0.185
1825,1882,0.531,0.282,0.186
1826,1882,0.526,0.286,0.189
1827,1882,0.52,0.289,0.191
1828,1882,0.514,0.293,0.193
1829,1882,0.508,0.298,0.194
1830,1882,0.501,0.303,0.196
1831,1882,0.495,0.309,0.197
1832,1882,0.488,0.314,0.197
1833,1882,0.482,0.32,0.198
1834,1882,0.475,0.326,0.199
1835,1882,0.469,0.332,0.2
1836,1882,0.462,0.338,0.2
1837,1882,0.456,0.344,0.201
1838,1882,0.447,0.352,0.202
1839,1882,0.436,0.361,0.203
1840,1882,0.425,0.37,0.204
1841,1882,0.416,0.379,0.205
1842,1882,0.41,0.383,0.207
1843,1882,0.405,0.388,0.207
1844,1882,0.399,0.392,0.208
1845,1882,0.394,0.396,0.21
1846,1882,0.39,0.398,0.212
1847,1882,0.386,0.401,0.213
1848,1882,0.381,0.398,0.222
1849,1882,0.376,0.394,0.23
1850,1882,0.374,0.389,0.237
1851,1882,0.372,0.383,0.245
1852,1882,0.37,0.377,0.253
1853,1882,0.367,0.371,0.262
1854,1882,0.365,0.365,0.27
1855,1882,0.362,0.359,0.278
1856,1882,0.359,0.353,0.287
1857,1882,0.358,0.343,0.298
1858,1882,0.367,0.345,0.288
1859,1882,0.377,0.343,0.28
1860,1882,0.387,0.34,0.273
1861,1882,0.397,0.337,0.266
1862,1882,0.408,0.334,0.258
1863,1882,0.418,0.331,0.251
1864,1882,0.433,0.327,0.241
1865,1882,0.449,0.33,0.221
1866,1882,0.489,0.306,0.205
1867,1882,0.52,0.293,0.187
1868,1882,0.557,0.272,0.171
