year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1933,0.347,0.351,0.302,0.0392,57
1933,0.338,0.354,0.308,0.0125,56
1933,0.329,0.356,0.315,0.0102,55
1933,0.321,0.358,0.321,0.009,54
1933,0.313,0.359,0.327,0.0082,53
1933,0.306,0.361,0.333,0.0077,52
1933,0.3,0.362,0.338,0.0072,51
1933,0.295,0.363,0.342,0.007,50
1933,0.292,0.363,0.344,0.0068,49
1933,0.288,0.365,0.347,0.0067,48
1933,0.285,0.366,0.348,0.0062,47
1933,0.283,0.369,0.348,0.0048,46
1933,0.281,0.373,0.346,0.003,45
1933,0.28,0.376,0.344,0.0017,44
1933,0.278,0.38,0.342,0.0007,43
1933,0.276,0.384,0.34,0.0007,42
1933,0.273,0.389,0.338,0.0023,41
1933,0.27,0.394,0.336,0.0037,40
1933,0.267,0.399,0.335,0.0032,39
1933,0.264,0.403,0.333,0.0023,38
1933,0.261,0.408,0.331,0.0023,37
1933,0.258,0.413,0.329,0.0012,36
1933,0.255,0.417,0.328,0.0013,35
1933,0.252,0.423,0.324,0.0022,34
1933,0.249,0.428,0.322,0.0033,33
1933,0.247,0.434,0.32,0.0045,32
1933,0.243,0.439,0.318,0.0057,31
1933,0.24,0.444,0.316,0.0068,30
1933,0.238,0.449,0.313,0.0073,29
1933,0.238,0.451,0.311,0.0087,28
1933,0.238,0.46,0.303,0.0058,27
1933,0.241,0.45,0.309,0.0082,26
1933,0.243,0.447,0.31,0.0085,25
1933,0.247,0.443,0.31,0.0107,24
1933,0.251,0.439,0.31,0.0127,23
1933,0.256,0.429,0.315,0.0143,22
1933,0.259,0.431,0.31,0.0162,21
1933,0.265,0.428,0.307,0.016,20
1933,0.271,0.426,0.303,0.0183,19
1933,0.278,0.413,0.309,0.0208,18
1933,0.292,0.419,0.289,0.0322,17
1933,0.309,0.415,0.276,0.0392,16
