year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1907,0.39,0.372,0.238,0.0056,46
1907,0.377,0.382,0.241,0.0059,45
1907,0.374,0.385,0.241,0.0053,44
1907,0.366,0.392,0.242,0.0051,43
1907,0.358,0.398,0.244,0.0054,42
1907,0.351,0.404,0.245,0.0056,41
1907,0.343,0.411,0.246,0.0057,40
1907,0.336,0.417,0.247,0.0058,39
1907,0.33,0.422,0.248,0.0059,38
1907,0.324,0.427,0.249,0.0062,37
1907,0.319,0.432,0.249,0.0061,36
1907,0.307,0.44,0.253,0.0064,35
1907,0.304,0.444,0.252,0.0063,34
1907,0.297,0.45,0.253,0.0067,33
1907,0.289,0.455,0.255,0.0071,32
1907,0.285,0.457,0.258,0.0069,31
1907,0.282,0.458,0.26,0.0068,30
1907,0.281,0.457,0.263,0.0064,29
1907,0.279,0.456,0.265,0.0063,28
1907,0.274,0.46,0.267,0.0066,27
1907,0.275,0.441,0.284,0.0042,26
1907,0.27,0.43,0.3,0.0028,25
1907,0.265,0.418,0.317,0.0013,24
1907,0.26,0.406,0.334,0.0017,23
1907,0.258,0.381,0.361,0.0046,22
1907,0.266,0.398,0.337,0.0017,21
1907,0.282,0.403,0.315,0.0018,20
1907,0.298,0.407,0.295,0.0038,19
1907,0.31,0.424,0.266,0.0064,18
1907,0.331,0.413,0.256,0.0078,17
1907,0.344,0.418,0.238,0.0099,16
